file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2011-M-D-B02-5-R-02_0042_379479_to_388079,ཅ་ལག་བརྙེད་ཡོད་མ་རེད་དཱ། ཨེ་ནས། ཁོ་སོ་སོ་ཀ་ཅི་ཉལ་ཁྲི་ཀ་ཅི་དེ་རཱོམ་ནང་འགྲོ་དུས་སྐབས་སུ། ཨེ་ནས། ཁོར་གཞི་ནས་ཅ་ལག་དེ་བརྙེད་རེད་དཱ། ཨེ་ནས། ཁོ་དེའི་སྒང་རྐུབ་བཙུགས་རཱ། ཨེ་ནས།  ,ca lag brnyed yod ma red dA/_e nas/_kho so so ka ci nyal khri ka ci de rA+om nang 'gro dus skabs su/_e nas/_khor gzhi nas ca lag de brnyed red dA/_e nas/_kho de'i sgang rkub btsugs rA/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0042_379479_to_388079.wav,STT_CS,3,169,8.6,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0042_379479_to_388079.wav,ཅ་ལག་རྙེད་ཡོད་མ་རེད་ད། ཨེ་ནས་ཁོ་སོ་སོ་ཀ་ཅི་ཉལ་ཁྲི་ཀ་ཅི་རཱོམ་དེའི་ནང་འགྲོ་དུས་སྐབས་སུ། ཨེ་ནས་ཁོ་གཞི་ནས་ཅ་ལག་དེ་རྙེད་རེད་ད། ཨེ་ནས་ཁོ་དེའི་སྒང་རྐུབ་བཙུགས་རཱ། ཨེ་ནས།
STT_CS-D-2011-M-D-B02-5-R-02_0043_388079_to_396678,ག་རེ་ཟ་བརྙན་འཕྲིན་དེ་སྤར་རེདཱ། ཨེ་ནས། ཁོ་ལྟད་མོ་བལྟ་ཡོད་རེད་དཱ། ཨེ་ནས། རྗེས་ལ་པ་ལགས་ཨ་མ་ལགས་གཉིས་ཆ་ད་བརྩེ་བ་ཆེན་པོ་ཆགས་རཱ། ཨེ་ནས། ཁོ་གཉིས་པ་ལགས་ཀིས་ཕར་རྔན་པ་སྤྲད། ཨེ་ནས། ཨ་ ,ga re za brnyan 'phrin de spar redA/_e nas/_kho ltad mo blta yod red dA/_e nas/_rjes la pa lags a ma lags gnyis cha da brtse ba chen po chags rA/_e nas/_kho gnyis pa lags kis phar rngan pa sprad/_e nas/_a _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0043_388079_to_396678.wav,STT_CS,3,173,8.599,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0043_388079_to_396678.wav,ག་རེ་ཟ།་བརྙན་འཕྲིན་དེ་སྤར་རཱ། ཨེ་ནས་ཁོ་ལྟད་མོ་བལྟ་བསྡད་ཡོད་རེད་ད། ཨེ་ནས་རྗེས་ལ་པ་ལགས་ཨ་མ་གཉིས་ཀ་ད་བརྩེ་བ་ཆེན་པོ་ཆགས་རཱ། ཨ་ནས་ཁོ་གཉིས་པ་ལགས་ཀྱིས་ཕར་ལ་རྔན་པ་སྤྲད། ཨ་ནས།
STT_CS-D-2011-M-D-B02-5-R-02_0044_396678_to_405278,ཨ་མ་ཡིས་ཚུར་རྔན་པ་སྤྲད་བསྡད་ཡོད་རཱ། རྗེས་ལ་ག་རེ་ཟ་ཨ་ཁུ་ཀ་ཅི་དེ། པུས་མོ་དེ་ཡོད་རཱ། པུས་མོ་དེར་ཟུག་གཅིག་བརྒྱབས་དུས་སྐབས་སུ། ཨ་ཁུ་དེ་མང་པོ་དཔེ་བརྡར་རེད་དཱ། ཡོད་རཱ།  ,a ma yis tshur rngan pa sprad bsdad yod rA/_rjes la ga re za a khu ka ci de/_pus mo de yod rA/_pus mo der zug gcig brgyabs dus skabs su/_a khu de mang po dpe brdar red dA/_yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0044_396678_to_405278.wav,STT_CS,3,162,8.6,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0044_396678_to_405278.wav,་ཚུ་རྔན་པ་སྤྲད་བསྡད་ཡོད་རཱ། རྗེས་ལ་ག་རེ་ཟ་ཨ་ཁུ་ཀ་ཅི་དེ།་པུས་མོ་དེ་ཡོད་རཱ། པུས་མོ་དེ་ཟུག་གཅིག་རྒྱབ་དུས་སྐབས་སུ། ཨ་ཁུ་དེ་མང་པོ་དཔེ་བརྡར་རེད་ད་ཡོད་རཱ།
STT_CS-D-2011-M-D-B02-5-R-02_0045_406409_to_409733,ཨེ་ནས། རྗེས་ལ་མི་མང་ཆེ་གསང་སྤྱོད་ལ་ཡོད།  ,e nas/_rjes la mi mang che gsang spyod la yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0045_406409_to_409733.wav,STT_CS,3,41,3.324,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0045_406409_to_409733.wav,ཨེ་ནས་རྗེས་ལ་མི་མང་ཆེབ་གསང་སྤྱོད་ལ་ཡ།
STT_CS-D-2011-M-D-B02-5-R-02_0046_409784_to_418156,ཆབ་གསང་གཏང་གར་འགྲོ་དུས། ཨེ་ནས། ཆབ་གསང་བཏང་ས་ནས་མར་འཐོན་གི་ཡོད་རེད་ད་རཱ། ཨེ་ནས། མི་ཁ་ཤས་ད་སྐས་འཛེགས་སྒང་ལ་འཛེགས་ནས་ཡོད་རཱ། ཁོང་ཚོར་ཅ་ལག་ག་རེ་འདུག་བལྟ་གར་འགྲོ་ཡི་རེད་དཱ།  ,chab gsang gtang gar 'gro dus/_e nas/_chab gsang btang sa nas mar 'thon gi yod red da rA/_e nas/_mi kha shas da skas 'dzegs sgang la 'dzegs nas yod rA/_khong tshor ca lag ga re 'dug blta gar 'gro yi red dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0046_409784_to_418156.wav,STT_CS,3,169,8.372,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0046_409784_to_418156.wav,ཆབ་གསང་བཏང་ག་འགྲོ་དུས།ཨ་ནསཆབ་གསང་བཏང་སར་ནས་མར་དོན་གི་ཡོད་རེད་ད་ཡོད་རཱ། ཨེ་ནས་མི་ཁ་ཤས་ད་སྒང་དཔེ་འཛོགས་སྒང་ལ་འཛེགས་ནས་ཡོད་རཱ། ཁོང་ཚོ་ཅ་ལག་ག་རེ་འདུག་ལྟ་ག་འགྲོ་གི་ཡོད་རེད་ད།
STT_CS-D-2011-M-D-B02-5-R-02_0047_418156_to_426529,མི་མི། ཕྲུ་གུ་ཆུང་ཆུང་གཅིག་ཡོད་རེད་དཱ། ཕར་སྤང་ལ་རྩེད་མོ་རྩེ་བསྡད་ཡོད་རེད་དཱ། ཨེ་ནས། ག་རེ་ཟ་མི་རྒན་པ་གཅིག་ཆུ་ནང་ལ་དིམ་བྲོ་ ,mi mi/_phru gu chung chung gcig yod red dA/_phar spang la rtsed mo rtse bsdad yod red dA/_e nas/_ga re za mi rgan pa gcig chu nang la dim bro _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0047_418156_to_426529.wav,STT_CS,3,122,8.373,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0047_418156_to_426529.wav,མི། མི པུ་གུ་ཆུང་ཆུང་གཅིག་ཡོད་རཱེ། ཕར་སྤང་ལ་རྩེད་མོ་རྩེ་བསྡད་ཡོད་རེད་ད། ཨེ་ནས། ག་རེ་ཟ། མི་རྒན་པ་ཅིག་ཆུའ་ནང་འདིམ་ྱོ
STT_CS-D-2011-M-D-B02-5-R-02_0048_426529_to_434902,བྱེད་དུས་པུ་གུ་མགྱོགས་མགྱོགས་པོ་ཐག་པ་དེ། ཐག་པ་དེ་ཡོད་རཱ། མི་རྒན་པ་ཡོད་སར་གཡུགས་རཱ། ཨེ་ནས། མི་རྒན་པ་དེས་འདིར་ལག་པ་འཇུས་རཱ། ཨེ་ནས། ཁོ་ཡར་ཐོན་ཐུབ་རེད་དཱ། ཨེ་ནས།  ,byed dus pu gu mgyogs mgyogs po thag pa de/_thag pa de yod rA/_mi rgan pa yod sar g.yugs rA/_e nas/_mi rgan pa des 'dir lag pa 'jus rA/_e nas/_kho yar thon thub red dA/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0048_426529_to_434902.wav,STT_CS,3,159,8.373,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0048_426529_to_434902.wav,པུ་གུ་དེ་མགྱོགས་པོ་མགྱོགས། ཐག་པ་དེ།་ཐག་པ་དེ་ཡོད་རཱ། མི་རྒན་པ་ཡོད་སར་གཡུག་རཱེ། ཨེ་ནས་མི་རྒན་པ་དེ་ལགདི་ལག་པ་འཇུས་རཱེ། ཨེ་ནས་ཁོ་ཡར་དོན་ཐུབ་རེད་ད། ཨེ་ནས།
STT_CS-D-2011-M-D-B02-5-R-02_0049_434902_to_443275,རྗེས་ལ་མི་རྒྱགས་པ་གཅིག་ག་རེ་ཟ་ད་མི་སྐམ་པོ་བཟོ་ཡ་ཆེད་དུ། ཨེ་ནས། ཁོ་ཡར་མར་རྒྱུགས་ཤར་མང་དཔེ་གློད་ཀི་ཡོད་རེད་དཱ། ཨེ་ནས། ཁོ་ཏོག་ཙི་སྐམ་རུ་སྐམ་རུ་འགྲོ་རེད་དཱ། ཨེ་ནས།  ,rjes la mi rgyags pa gcig ga re za da mi skam po bzo ya ched du/_e nas/_kho yar mar rgyugs shar mang dpe glod ki yod red dA/_e nas/_kho tog tsi skam ru skam ru 'gro red dA/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0049_434902_to_443275.wav,STT_CS,3,161,8.373,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0049_434902_to_443275.wav,རྗེས་ལ་མི་རྒྱགས་པ་གཅིག་ག་ག་རེ་ཟ། ད་མི་སྐམ་པོ་བཟོ་ཡ་ཆེད་དུ། ཨེ་ནས་ཁོ་ཡར་མར་རྒྱུག་ཤར་མང་པོ་དཔེ་སླེབས་ཀི་ཡོད་རེད་ད། ཨེ་ནས་ཁོ་ཏིག་ཙི་སྐམ་སྐམ་སྐམ་འགྲོ་རེད་ད། ཨ་ནས།
STT_CS-D-2011-M-D-B02-5-R-02_0050_443275_to_451648,རྗེས་ལ་ཁོ། ཁོ་ཉི་མ་གཅིག་ཁོང་ཁྲོ་ཟ་རེད་དཱ། རྒན་ལགས་ཀིས་བཀའ་བཀྱོན་བཏང་ནས། ཡི་གེ་སྦྱང་ལབ་ནས། ཨེ་ནས། ཁོ་ཡི་གེ་སྦྱང་སྦྱང་སྦྱང་བྱས་ནས། ཨེ་ནས། ཁོ་རྟག་པར་ ,rjes la kho/_kho nyi ma gcig khong khro za red dA/_rgan lags kis bka' bkyon btang nas/_yi ge sbyang lab nas/_e nas/_kho yi ge sbyang sbyang sbyang byas nas/_e nas/_kho rtag par _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0050_443275_to_451648.wav,STT_CS,3,147,8.373,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0050_443275_to_451648.wav,རྗེས་ལ་ཁོ། ཁོ་ཉི་མ་གཅིག་ུ་ད་ཁོང་ཁྲོ་ཟ་རེད་ད། རྒན་ལགས་ཀྱིས་བཀའ་བཀྱོན་བཏང་ནས་ ཡི་གེ་སྦྱང་ལབ་ནས། ཨེ་ནས་ཁོ་ཡི་གེ་སྦྱང་སྦྱང་སྦྱང་བྱས་ནས། ཨེ་ནས་ཁོ་རྟག་པར།
STT_CS-D-2011-M-D-B02-5-R-02_0051_451648_to_460020,གཞི་ནས་སྦྱང་ཡང་འགོ་བཙུགས་རེད་དཱ། སྔོན་ནས་ཁོ་རཱ། ཡི་གེ་སྦྱང་དུས་སྐབས་སུ། ཡིག་ཚད་བཏང་དུས་སྐབས་སུ། གང་ཚང་ནོར་གི་ཡོད་རེད་དཱ། ཨེ་ནས། རྗེས་ལ་ཁོ་ཡིག་ཚད་བཏང་དུས་སྐབས་སུ། ཨེ་ནས། གཞི་ནས་འགྲིག་རྟགས་རག་རེད་དཱ། ཡོད་རཱ།  ,gzhi nas sbyang yang 'go btsugs red dA/_sngon nas kho rA/_yi ge sbyang dus skabs su/_yig tshad btang dus skabs su/_gang tshang nor gi yod red dA/_e nas/_rjes la kho yig tshad btang dus skabs su/_e nas/_gzhi nas 'grig rtags rag red dA/_yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0051_451648_to_460020.wav,STT_CS,3,207,8.372,wav16k/STT_CS-D-2011-M-D-B02-5-R-02_0051_451648_to_460020.wav,ི་སྦྱང་ཡ་གོ་ཐུབ་རེད་ད། སྔོན་ནས་ར་ཁོ་ ཡི་གེ་སྦྱང་དུས་སྐབས་སུ་ཡིག་ཚད་བཏང་དུས་སྐབས་སུ་གང་ཚང་ནོར་རགྱི་རེད་ད། ཨེ་ནས་རྗེས་ལ་ཁོ་ཡིག་ཚད་བཏང་དུས་སྐབས་སུ། ཨེ་ནས་གཞི་ནས་གཅིག་ྟ་རག་རེད་ད།རེདབ།
